galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
central VELA02 320 3.124 2.125 5 F160W 300.2080 0.0842 302.9244 0.0893 18.9681 0.0027 36.4762 0.1292 36.4762 0.1292 0.9868 0.0036 0.8766 0.0022 43.6471 0.9802 0.365675753768 0.000e+00
other VELA02 320 3.124 2.125 5 F160W 237.2259 0.0563 250.5933 0.0418 19.6209 0.0053 21.4759 0.1507 21.4759 0.1507 1.9015 0.0134 0.7466 0.0030 -89.0249 0.6702 0.51118154361 0.000e+00
central VELA02 320 3.124 2.125 6 F160W 302.2953 0.1557 299.5230 0.0546 19.0807 0.0039 47.7516 0.1618 47.7516 0.1618 0.7507 0.0034 0.3544 0.0013 89.8797 0.0983 0.338317560581 0.000e+00
other VELA02 320 3.124 2.125 6 F160W 333.2417 0.0240 245.7442 0.0209 20.1551 0.0063 10.4898 0.0845 10.4898 0.0845 2.1292 0.0184 0.8534 0.0054 -46.3153 1.4990 0.381230741877 0.000e+00
other VELA02 320 3.124 2.125 6 F160W 476.6004 0.0398 438.3278 0.0361 20.6648 0.0081 16.1120 0.1616 16.112 0.1616 2.2485 0.0190 0.8592 0.0054 -66.0555 1.6830 0.701706269961 0.000e+00
central VELA02 320 3.124 2.125 7 F160W 302.1682 0.1236 303.8825 0.1154 18.9719 0.0041 37.3887 0.1544 37.3887 0.1544 0.9596 0.0052 0.9264 0.0025 53.4748 1.9244 0.389717191628 0.000e+00
other VELA02 320 3.124 2.125 7 F160W 228.8808 0.0617 302.1057 0.0524 19.8078 0.0069 30.6951 0.2646 30.6951 0.2646 2.2504 0.0180 0.4052 0.0019 50.8003 0.2251 0.477707134337 0.000e+00
central VELA02 320 3.124 2.125 8 F160W 302.1080 0.1235 303.9559 0.1156 18.9885 0.0040 37.1104 0.1526 37.1104 0.1526 0.9704 0.0053 0.9200 0.0025 45.1005 1.7007 0.388487154177 0.000e+00
other VELA02 320 3.124 2.125 8 F160W 227.1016 0.0699 298.4204 0.0465 19.7382 0.0067 32.2426 0.2537 32.2426 0.2537 2.1498 0.0163 0.4171 0.0020 55.6763 0.2172 0.482439710226 0.000e+00
central VELA02 330 3.268 2.0303030303 0 F160W 301.5749 0.0127 300.2277 0.0166 18.4837 0.0027 27.7671 0.0344 27.7671 0.0344 1.3159 0.0025 0.8672 0.0010 70.5083 0.0402 0.328553029839 0.000e+00
other VELA02 330 3.268 2.0303030303 0 F160W 32.2512 109815349248.0000 489.8086 38694600704.0000 35.0340 273466327040.0000 0.0101 4615995392.0000 0.0101 4615995392.0 7.0421 719453683712.0000 0.0500 2205435392.0000 -30.6409 113271259136.0000 0 0.000e+00
